Month	Day	Period	Value
2	13	15	97.91
2	13	16	95.74
2	13	17	82.85
2	13	18	33.67
2	13	19	0
2	13	20	0
2	13	21	0
2	13	22	0
2	13	23	0
2	13	24	0
2	14	1	0
2	14	2	0
2	14	3	0
2	14	4	0
2	14	5	0
2	14	6	0
2	14	7	0
2	14	8	0
2	14	9	19.87
2	14	10	77.04
2	14	11	91.56
2	14	12	95.19
2	14	13	97.82
2	14	14	98
2	14	15	98.73
2	14	16	94.92
2	14	17	83.03
2	14	18	38.84
2	14	19	0
2	14	20	0
2	14	21	0
2	14	22	0
2	14	23	0
2	14	24	0
2	15	1	0
2	15	2	0
2	15	3	0
2	15	4	0
2	15	5	0
2	15	6	0
2	15	7	0
2	15	8	0
2	15	9	25.5
2	15	10	77.77
2	15	11	92.47
2	15	12	96.01
2	15	13	92.83
2	15	14	84.94
2	15	15	78.68
2	15	16	65.79
2	15	17	55.54
2	15	18	23.41
2	15	19	0
2	15	20	0
2	15	21	0
2	15	22	0
2	15	23	0
2	15	24	0
2	16	1	0
2	16	2	0
2	16	3	0
2	16	4	0
2	16	5	0
2	16	6	0
2	16	7	0
2	16	8	0
2	16	9	19.96
2	16	10	75.23
2	16	11	91.11
2	16	12	93.28
2	16	13	91.65
2	16	14	90.02
2	16	15	89.84
2	16	16	79.04
2	16	17	54.45
2	16	18	33.3
2	16	19	0
2	16	20	0
2	16	21	0
2	16	22	0
2	16	23	0
2	16	24	0
2	17	1	0
2	17	2	0
2	17	3	0
2	17	4	0
2	17	5	0
2	17	6	0
2	17	7	0
2	17	8	0
2	17	9	25.05
2	17	10	78.4
2	17	11	83.3
2	17	12	82.49
2	17	13	82.67
2	17	14	80.04
2	17	15	76.5
2	17	16	65.43
2	17	17	52.63
2	17	18	29.58
2	17	19	0
2	17	20	0
2	17	21	0
2	17	22	0
2	17	23	0
2	17	24	0
2	18	1	0
2	18	2	0
2	18	3	0
2	18	4	0
2	18	5	0
2	18	6	0
2	18	7	0
2	18	8	0
2	18	9	23.59
2	18	10	78.49
2	18	11	93.1
2	18	12	96.73
2	18	13	98.55
2	18	14	98.91
2	18	15	97.64
2	18	16	96.37
2	18	17	84.85
2	18	18	45.46
2	18	19	0
2	18	20	0
2	18	21	0
2	18	22	0
2	18	23	0
2	18	24	0
2	19	1	0
2	19	2	0
2	19	3	0
2	19	4	0
2	19	5	0
2	19	6	0
2	19	7	0
2	19	8	0
2	19	9	27.77
2	19	10	80.76
2	19	11	92.38
2	19	12	93.92
2	19	13	97.1
2	19	14	97.82
2	19	15	99
2	19	16	97.28
2	19	17	84.21
2	19	18	42.47
2	19	19	0
2	19	20	0
2	19	21	0
2	19	22	0
2	19	23	0
2	19	24	0
2	20	1	0
2	20	2	0
2	20	3	0
2	20	4	0
2	20	5	0
2	20	6	0
2	20	7	0
2	20	8	0
2	20	9	24.95
2	20	10	65.52
2	20	11	78.4
2	20	12	80.04
2	20	13	83.76
2	20	14	83.76
2	20	15	84.21
2	20	16	79.22
2	20	17	57.89
2	20	18	23.32
2	20	19	0
2	20	20	0
2	20	21	0
2	20	22	0
2	20	23	0
2	20	24	0
2	21	1	0
2	21	2	0
2	21	3	0
2	21	4	0
2	21	5	0
2	21	6	0
2	21	7	0
2	21	8	0
2	21	9	22.96
2	21	10	31.76
2	21	11	34.57
2	21	12	36.84
2	21	13	34.48
2	21	14	36.48
2	21	15	23.05
2	21	16	14.52
2	21	17	9.44
2	21	18	11.07
2	21	19	0
2	21	20	0
2	21	21	0
2	21	22	0
2	21	23	0
2	21	24	0
2	22	1	0
2	22	2	0
2	22	3	0
2	22	4	0
2	22	5	0
2	22	6	0
2	22	7	0
2	22	8	0
2	22	9	27.4
2	22	10	71.14
2	22	11	84.57
2	22	12	89.47
2	22	13	89.56
2	22	14	87.75
2	22	15	83.3
2	22	16	77.77
2	22	17	68.33
2	22	18	34.94
2	22	19	0
2	22	20	0
2	22	21	0
2	22	22	0
2	22	23	0
2	22	24	0
2	23	1	0
2	23	2	0
2	23	3	0
2	23	4	0
2	23	5	0
2	23	6	0
2	23	7	0
2	23	8	0
2	23	9	6.62
2	23	10	17.79
2	23	11	19.51
2	23	12	36.12
2	23	13	43.1
2	23	14	60.16
2	23	15	86.75
2	23	16	91.92
2	23	17	76.13
2	23	18	34.85
2	23	19	0
2	23	20	0
2	23	21	0
2	23	22	0
2	23	23	0
2	23	24	0
2	24	1	0
2	24	2	0
2	24	3	0
2	24	4	0
2	24	5	0
2	24	6	0
2	24	7	0
2	24	8	0
2	24	9	16.24
2	24	10	43.38
2	24	11	53.63
2	24	12	66.33
2	24	13	69.42
2	24	14	73.5
2	24	15	68.69
2	24	16	83.67
2	24	17	78.04
2	24	18	44.83
2	24	19	0
2	24	20	0
2	24	21	0
2	24	22	0
2	24	23	0
2	24	24	0
2	25	1	0
2	25	2	0
2	25	3	0
2	25	4	0
2	25	5	0
2	25	6	0
2	25	7	0
2	25	8	0
2	25	9	22.41
2	25	10	66.79
2	25	11	90.74
2	25	12	92.38
2	25	13	92.38
2	25	14	95.1
2	25	15	94.1
2	25	16	81.31
2	25	17	81.4
2	25	18	47.01
2	25	19	0
2	25	20	0
2	25	21	0
2	25	22	0
2	25	23	0
2	25	24	0
2	26	1	0
2	26	2	0
2	26	3	0
2	26	4	0
2	26	5	0
2	26	6	0
2	26	7	0
2	26	8	0
2	26	9	14.79
2	26	10	48.55
2	26	11	61.43
2	26	12	79.31
2	26	13	84.66
2	26	14	87.39
2	26	15	86.03
2	26	16	90.93
2	26	17	82.85
2	26	18	46.19
2	26	19	2.81
2	26	20	0
2	26	21	0
2	26	22	0
2	26	23	0
2	26	24	0
2	27	1	0
2	27	2	0
2	27	3	0
2	27	4	0
2	27	5	0
2	27	6	0
2	27	7	0
2	27	8	0
2	27	9	35.84
2	27	10	81.58
2	27	11	92.74
2	27	12	95.1
2	27	13	97.1
2	27	14	97.91
2	27	15	97.55
2	27	16	98
2	27	17	87.48
2	27	18	52.99
2	27	19	3.27
2	27	20	0
2	27	21	0
2	27	22	0
2	27	23	0
2	27	24	0
2	28	1	0
2	28	2	0
2	28	3	0
2	28	4	0
2	28	5	0
2	28	6	0
2	28	7	0
2	28	8	0
2	28	9	31.58
2	28	10	82.21
2	28	11	91.56
2	28	12	92.74
2	28	13	91.56
2	28	14	87.57
2	28	15	81.03
2	28	16	75.41
2	28	17	59.07
2	28	18	28.04
2	28	19	0
2	28	20	0
2	28	21	0
2	28	22	0
2	28	23	0
2	28	24	0
3	1	1	0
3	1	2	0
3	1	3	0
3	1	4	0
3	1	5	0
3	1	6	0
3	1	7	0
3	1	8	0
