Month	Day	Period	Val
1	30	17	11.44
1	30	18	16.62
1	30	19	14.17
1	30	20	35.42
1	30	21	23.16
1	30	22	31.61
1	30	23	23.43
1	30	24	26.43
1	31	1	28.61
1	31	2	22.89
1	31	3	11.99
1	31	4	27.79
1	31	5	46.87
1	31	6	36.78
1	31	7	45.78
1	31	8	41.14
1	31	9	50.68
1	31	10	19.62
1	31	11	7.9
1	31	12	3.27
1	31	13	11.44
1	31	14	23.16
1	31	15	17.17
1	31	16	19.35
1	31	17	20.71
1	31	18	18.26
1	31	19	31.88
1	31	20	31.61
1	31	21	48.77
1	31	22	62.4
1	31	23	91.01
1	31	24	91.28
2	1	1	100
2	1	2	93.46
2	1	3	82.02
2	1	4	84.2
2	1	5	69.48
2	1	6	55.04
2	1	7	85.56
2	1	8	87.47
2	1	9	68.12
2	1	10	68.39
2	1	11	36.78
2	1	12	38.42
2	1	13	0
2	1	14	0
2	1	15	0
2	1	16	0
2	1	17	0.82
2	1	18	8.72
2	1	19	8.72
2	1	20	14.99
2	1	21	18.53
2	1	22	17.71
2	1	23	14.71
2	1	24	13.35
2	2	1	13.35
2	2	2	12.26
2	2	3	10.08
2	2	4	14.17
2	2	5	10.08
2	2	6	30.52
2	2	7	16.89
2	2	8	19.62
2	2	9	21.25
2	2	10	17.44
2	2	11	11.72
2	2	12	1.09
2	2	13	0.27
2	2	14	0
2	2	15	0
2	2	16	0
2	2	17	0
2	2	18	0
2	2	19	0
2	2	20	0
2	2	21	0
2	2	22	0.27
2	2	23	0.27
2	2	24	0.54
2	3	1	1.09
2	3	2	1.36
2	3	3	1.63
2	3	4	2.72
2	3	5	3
2	3	6	4.63
2	3	7	0.82
2	3	8	0.82
2	3	9	3.81
2	3	10	4.09
2	3	11	4.09
2	3	12	3.54
2	3	13	2.72
2	3	14	5.45
2	3	15	5.45
2	3	16	5.18
2	3	17	5.18
2	3	18	4.9
2	3	19	4.36
2	3	20	3.81
2	3	21	3.81
2	3	22	4.09
2	3	23	4.63
2	3	24	5.18
2	4	1	5.72
2	4	2	5.72
2	4	3	7.36
2	4	4	6.54
2	4	5	5.99
2	4	6	4.63
2	4	7	4.09
2	4	8	3.27
2	4	9	2.72
2	4	10	3.54
2	4	11	3.27
2	4	12	2.18
2	4	13	2.45
2	4	14	2.72
2	4	15	2.72
2	4	16	2.18
2	4	17	1.09
2	4	18	0
2	4	19	0
2	4	20	0
2	4	21	0.27
2	4	22	0
2	4	23	0.27
2	4	24	0.27
2	5	1	0.54
2	5	2	0.82
2	5	3	0.54
2	5	4	1.09
2	5	5	3.54
2	5	6	4.9
2	5	7	4.09
2	5	8	3.81
2	5	9	6.54
2	5	10	4.9
2	5	11	3.54
2	5	12	2.18
2	5	13	1.91
2	5	14	5.18
2	5	15	7.36
2	5	16	7.08
2	5	17	6.54
2	5	18	6.81
2	5	19	7.36
2	5	20	8.17
2	5	21	8.17
2	5	22	7.63
2	5	23	7.36
2	5	24	6.81
2	6	1	6.27
2	6	2	5.99
2	6	3	5.99
2	6	4	5.18
2	6	5	4.36
2	6	6	3
2	6	7	2.72
2	6	8	5.99
2	6	9	6.81
2	6	10	4.9
2	6	11	5.99
2	6	12	2.18
2	6	13	2.45
2	6	14	5.18
2	6	15	5.18
2	6	16	29.16
2	6	17	33.24
2	6	18	25.07
2	6	19	28.07
2	6	20	24.52
2	6	21	12.53
2	6	22	10.9
2	6	23	7.63
2	6	24	5.72
2	7	1	13.08
2	7	2	27.25
2	7	3	21.8
2	7	4	25.89
2	7	5	19.07
2	7	6	13.08
2	7	7	10.9
2	7	8	7.9
2	7	9	5.99
2	7	10	4.09
2	7	11	0
2	7	12	0
2	7	13	0
2	7	14	0
2	7	15	0.27
2	7	16	0.82
2	7	17	5.72
2	7	18	0.54
2	7	19	1.63
2	7	20	2.45
2	7	21	6.27
2	7	22	15.26
2	7	23	26.43
2	7	24	40.6
2	8	1	41.96
2	8	2	40.05
2	8	3	40.33
2	8	4	41.14
2	8	5	38.96
2	8	6	38.15
2	8	7	38.15
2	8	8	39.51
2	8	9	38.15
2	8	10	36.78
2	8	11	37.87
2	8	12	38.15
2	8	13	43.05
2	8	14	39.24
2	8	15	38.96
2	8	16	42.78
2	8	17	35.97
2	8	18	27.25
2	8	19	24.52
2	8	20	24.8
2	8	21	30.79
2	8	22	52.04
2	8	23	49.86
2	8	24	29.97
2	9	1	16.35
2	9	2	1.91
2	9	3	4.36
2	9	4	3
2	9	5	7.63
2	9	6	5.45
2	9	7	10.08
2	9	8	6.81
2	9	9	3.81
2	9	10	1.63
2	9	11	1.36
2	9	12	0
2	9	13	0
2	9	14	0.27
2	9	15	0.27
2	9	16	0.54
2	9	17	0.82
2	9	18	4.09
2	9	19	3.81
2	9	20	5.72
2	9	21	8.45
2	9	22	8.45
2	9	23	9.26
2	9	24	17.44
2	10	1	34.06
2	10	2	25.61
2	10	3	16.35
2	10	4	5.99
2	10	5	5.99
2	10	6	0
2	10	7	1.91
2	10	8	4.36
2	10	9	6.81
2	10	10	12.81
2	10	11	5.45
2	10	12	2.18
2	10	13	0.82
2	10	14	0.27
2	10	15	0
2	10	16	0
2	10	17	0
2	10	18	0.27
2	10	19	0.82
2	10	20	1.36
2	10	21	1.63
2	10	22	3.27
2	10	23	6.27
2	10	24	13.62
2	11	1	27.79
2	11	2	38.69
2	11	3	43.32
2	11	4	50.14
2	11	5	50.95
2	11	6	52.32
2	11	7	52.04
2	11	8	50.95
2	11	9	48.23
2	11	10	43.6
2	11	11	33.51
2	11	12	28.07
2	11	13	15.53
2	11	14	0
2	11	15	3.81
2	11	16	14.71
2	11	17	22.89
2	11	18	49.05
2	11	19	47.41
2	11	20	48.5
2	11	21	46.32
2	11	22	50.95
2	11	23	50.14
2	11	24	48.77
2	12	1	47.68
2	12	2	46.87
2	12	3	42.78
2	12	4	44.69
2	12	5	52.59
2	12	6	52.59
2	12	7	51.77
2	12	8	50.14
2	12	9	49.32
2	12	10	46.59
2	12	11	40.87
2	12	12	29.7
2	12	13	26.7
2	12	14	18.26
2	12	15	11.44
2	12	16	5.18
2	12	17	2.45
2	12	18	0
2	12	19	0
2	12	20	0
2	12	21	0.54
