year,month,day,period,1
2023,2,4,8,1481.813
2023,2,4,9,1526.339
2023,2,4,10,1542.059
2023,2,4,11,1547.909
2023,2,4,12,1547.458
2023,2,4,13,1535.528
2023,2,4,14,1520.995
2023,2,4,15,1499.218
2023,2,4,16,1486.84
2023,2,4,17,1508.139
2023,2,4,18,1579.593
2023,2,4,19,1622.323
2023,2,4,20,1618.173
2023,2,4,21,1597.285
2023,2,4,22,1558.52
2023,2,4,23,1499.74
2023,2,4,24,1435.506
2023,2,5,1,1371.632
2023,2,5,2,1328.03
2023,2,5,3,1291.931
2023,2,5,4,1273.416
2023,2,5,5,1271.528
2023,2,5,6,1273.588
2023,2,5,7,1264.372
2023,2,5,8,1270.143
2023,2,5,9,1298.458
2023,2,5,10,1319.055
2023,2,5,11,1333.295
2023,2,5,12,1341.732
2023,2,5,13,1344.844
2023,2,5,14,1346.831
2023,2,5,15,1342.623
2023,2,5,16,1351.054
2023,2,5,17,1371.856
2023,2,5,18,1446.857
2023,2,5,19,1512.209
2023,2,5,20,1510.73
2023,2,5,21,1494.539
2023,2,5,22,1454.452
2023,2,5,23,1383.859
2023,2,5,24,1318.978
2023,2,6,1,1246.581
2023,2,6,2,1211.236
2023,2,6,3,1182.357
2023,2,6,4,1169.273
2023,2,6,5,1182.793
2023,2,6,6,1202.283
2023,2,6,7,1225.861
2023,2,6,8,1263.904
2023,2,6,9,1309.963
2023,2,6,10,1350.243
2023,2,6,11,1379.885
2023,2,6,12,1406.246
2023,2,6,13,1421.079
2023,2,6,14,1432.158
2023,2,6,15,1434.65
2023,2,6,16,1438.937
2023,2,6,17,1451.958
2023,2,6,18,1522.468
2023,2,6,19,1554.866
2023,2,6,20,1549.021
2023,2,6,21,1524.931
2023,2,6,22,1476.087
2023,2,6,23,1383.401
2023,2,6,24,1302.421
2023,2,7,1,1238.323
2023,2,7,2,1200.361
2023,2,7,3,1174.341
2023,2,7,4,1170.234
2023,2,7,5,1198.329
2023,2,7,6,1264.12
2023,2,7,7,1390.521
2023,2,7,8,1516.065
2023,2,7,9,1588.541
2023,2,7,10,1616.567
2023,2,7,11,1658.565
2023,2,7,12,1664.964
2023,2,7,13,1655.157
2023,2,7,14,1661.877
2023,2,7,15,1671.297
2023,2,7,16,1677.311
2023,2,7,17,1688.7
2023,2,7,18,1740.534
2023,2,7,19,1784.721
2023,2,7,20,1799.36
2023,2,7,21,1799.632
2023,2,7,22,1761.125
2023,2,7,23,1660.341
2023,2,7,24,1564.677
2023,2,8,1,1480.786
2023,2,8,2,1424.448
2023,2,8,3,1393.971
2023,2,8,4,1379.639
2023,2,8,5,1398.068
2023,2,8,6,1453.563
2023,2,8,7,1577.422
2023,2,8,8,1649.385
2023,2,8,9,1679.72
2023,2,8,10,1685.644
2023,2,8,11,1696.94
2023,2,8,12,1699.196
2023,2,8,13,1696.55
2023,2,8,14,1706.628
2023,2,8,15,1724.354
2023,2,8,16,1729.965
2023,2,8,17,1740.326
2023,2,8,18,1782.547
2023,2,8,19,1830.99
2023,2,8,20,1830.185
2023,2,8,21,1824.218
2023,2,8,22,1782.767
2023,2,8,23,1689.258
2023,2,8,24,1591.005
2023,2,9,1,1498.689
2023,2,9,2,1445.426
2023,2,9,3,1413.485
2023,2,9,4,1400.077
2023,2,9,5,1415.71
2023,2,9,6,1479.282
2023,2,9,7,1572.765
2023,2,9,8,1643.538
2023,2,9,9,1669.63
2023,2,9,10,1684.26
2023,2,9,11,1700.452
2023,2,9,12,1714.178
2023,2,9,13,1715.619
2023,2,9,14,1727.452
2023,2,9,15,1740.814
2023,2,9,16,1744.547
2023,2,9,17,1746.47
2023,2,9,18,1769.525
2023,2,9,19,1823.668
2023,2,9,20,1830.821
2023,2,9,21,1814.15
2023,2,9,22,1762.582
2023,2,9,23,1669.086
2023,2,9,24,1573.328
2023,2,10,1,1477.646
2023,2,10,2,1422.849
2023,2,10,3,1392.094
2023,2,10,4,1386.077
2023,2,10,5,1399.704
2023,2,10,6,1443.494
2023,2,10,7,1532.856
2023,2,10,8,1610.035
2023,2,10,9,1647.582
2023,2,10,10,1658.212
2023,2,10,11,1672.644
2023,2,10,12,1679.524
2023,2,10,13,1679.51
2023,2,10,14,1683.18
2023,2,10,15,1684.976
2023,2,10,16,1674.627
2023,2,10,17,1672.267
2023,2,10,18,1691.282
2023,2,10,19,1746.7
2023,2,10,20,1741.823
2023,2,10,21,1711.599
2023,2,10,22,1672.665
2023,2,10,23,1610.544
2023,2,10,24,1528.853
2023,2,11,1,1432.401
2023,2,11,2,1378.082
2023,2,11,3,1347.937
2023,2,11,4,1334.462
2023,2,11,5,1334.489
2023,2,11,6,1344.107
2023,2,11,7,1363.811
2023,2,11,8,1416.707
2023,2,11,9,1469.287
2023,2,11,10,1500.77
2023,2,11,11,1516.184
2023,2,11,12,1528.719
2023,2,11,13,1520.61
2023,2,11,14,1513.357
